PRODUCTO;TIPO_CARROCERIA;COMBUSTIBLE;Potencia_;TRANS;FORMA_PAGO;ESTADO_CIVIL;GENERO;OcupaciOn;PROVINCIA;Campanna1;Campanna2;Campanna3;Zona_Renta;REV_Garantia;Averia_grave;QUEJA_CAC;EDAD_COCHE;COSTE_VENTA;km_anno;Revisiones;Edad Cliente
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Asturias;SI;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;2;3239;0;2;18
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Toledo;NO;NO;NO;Medio-Bajo;SI;No;NO;13;1541;7187;2;53
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Lerida;NO;NO;NO;Medio;NO DATA;No;NO;11;1541;0;4;21
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Funcionario;Santa Cruz de Tenerife;SI;NO;SI;Alto;NO DATA;No;NO;16;2036;0;3;21
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Asturias;SI;NO;NO;Medio;SI;Averia leve;NO;5;2257;11293;2;56
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Madrid;SI;NO;NO;Medio;NO DATA;No;SI;7;2257;0;1;24
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Pontevedra;SI;NO;NO;Medio-Bajo;SI;No;NO;12;1747;754;2;51
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Asturias;NO;NO;NO;Alto;SI;No;NO;19;1541;12177;1;44
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Madrid;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;15;1541;0;1;21
A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;F;Empresa;Toledo;NO;NO;NO;Medio-Bajo;NO DATA;Averia grave;NO;5;1541;0;1;18
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Castellon;SI;NO;NO;Alto;SI;Averia muy grave;SI;10;3239;10806;1;46
A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;M;Empresa;Las Palmas;NO;NO;NO;Medio;NO DATA;Averia leve;NO;19;3400;0;1;31
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;La Rioja;NO;NO;NO;Medio-Bajo;SI;No;NO;16;2905;6684;2;45
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Barcelona;SI;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;13;1541;0;1;21
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Madrid;SI;NO;NO;Alto;SI;Averia leve;NO;4;5286;15105;1;49
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Tarragona;NO;NO;NO;Otros;NO DATA;Averia muy grave;SI;4;2905;0;2;26
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Cordoba;NO;NO;SI;Medio-Bajo;NO DATA;Averia leve;NO;17;2429;0;1;29
A;TIPO1;FUEL 1;Baja;M;Otros;SOLTERO;M;Empresa;Madrid;SI;NO;NO;Alto;SI;Averia grave;NO;5;5286;11844;2;60
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Empresa;Badajoz;SI;NO;NO;Alto;NO DATA;No;NO;5;2495;0;1;27
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Pontevedra;SI;NO;NO;Medio;SI;Averia muy grave;SI;6;5854;5865;2;60
A;TIPO1;FUEL 1;Baja;M;Otros;OTROS;F;Empresa;Valencia;NO;NO;NO;Medio-Bajo;SI;No;NO;18;2905;24347;1;53
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Alicante;SI;NO;NO;Medio;NO DATA;Averia grave;NO;19;2905;0;1;23
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Cantabria;NO;NO;NO;Medio;NO DATA;No;NO;19;1781;0;0;29
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Baleares;NO;NO;NO;Medio;NO DATA;No;NO;8;2905;0;2;26
A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;M;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;No;NO;3;2905;0;2;30
A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;M;Empresa;Madrid;SI;NO;NO;Alto;NO DATA;No;NO;7;5286;0;2;29
A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;F;Empresa;Las Palmas;NO;NO;NO;Otros;NO DATA;No;NO;6;3400;0;2;31
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Madrid;SI;NO;NO;Medio;SI;Averia grave;NO;15;6358;4186;2;58
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Funcionario;Leon;NO;NO;NO;Alto;SI;No;NO;2;2905;6207;2;60
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Gerona;SI;NO;NO;Medio-Bajo;SI;Averia grave;NO;1;5286;6124;2;37
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Madrid;SI;NO;NO;Alto;NO DATA;Averia leve;NO;13;3110;0;0;22
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Funcionario;Jaen;SI;NO;NO;Medio;SI;Averia muy grave;SI;7;1541;4923;1;29
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Baleares;SI;NO;NO;Medio;NO DATA;Averia grave;NO;3;3599;0;1;20
A;TIPO1;FUEL 1;Baja;M;Financiera Banco;EN PAREJA;M;Empresa;Barcelona;SI;NO;NO;Medio-Bajo;SI;Averia leve;NO;11;2905;10219;2;45
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Murcia;NO;NO;NO;Medio-Bajo;SI;No;NO;1;1541;18674;2;58
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Asturias;NO;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;4;1541;0;2;25
A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;F;Empresa;La Rioja;SI;NO;NO;Medio;SI;No;NO;11;3239;14797;2;54
A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;F;Empresa;Lacoruna;NO;NO;NO;Medio-Bajo;NO DATA;Averia grave;NO;3;1541;0;0;26
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Pontevedra;SI;NO;NO;Medio;SI;No;NO;1;3239;30078;2;60
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Empresa;Madrid;SI;NO;SI;Medio;SI;Averia leve;NO;18;1541;17003;1;46
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Empresa;Madrid;NO;NO;SI;Otros;NO DATA;Averia grave;NO;12;4696;0;0;19
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Barcelona;NO;NO;SI;Otros;NO DATA;Averia leve;NO;1;2429;0;1;20
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Autonomo;Las Palmas;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;5;1525;0;1;18
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Santa Cruz de Tenerife;SI;NO;NO;Medio-Bajo;SI;No;NO;7;3548;4105;2;42
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Funcionario;Lugo;SI;NO;NO;Alto;SI;No;NO;10;1747;13844;1;61
A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;F;Empresa;Valencia;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;5;1541;0;2;29
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Alto;SI;Averia muy grave;SI;2;2036;6847;1;23
A;TIPO1;FUEL 1;Baja;M;Otros;SOLTERO;M;Empresa;Baleares;SI;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;9;3239;10025;1;39
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Baleares;SI;NO;SI;Otros;NO DATA;Averia muy grave;SI;8;1781;0;1;26
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Gerona;SI;NO;NO;Alto;NO DATA;Averia muy grave;SI;5;2495;0;0;28
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;EN PAREJA;F;Empresa;Barcelona;SI;NO;NO;Alto;NO DATA;No;NO;3;4312;0;2;28
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;EN PAREJA;F;Empresa;Barcelona;SI;NO;NO;Alto;SI;Averia muy grave;SI;14;2257;10339;2;53
A;TIPO1;FUEL 1;Baja;M;Otros;SOLTERO;M;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Alto;NO DATA;Averia leve;NO;4;2275;0;1;22
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Baleares;SI;NO;NO;Medio;NO DATA;No;NO;1;2495;0;0;27
A;TIPO1;FUEL 1;Baja;M;Financiera Banco;CASADO;M;Empresa;Barcelona;NO;NO;NO;Medio;NO DATA;No;NO;14;1781;0;0;18
